Latitude,Longitude,Start,End,EquipmentGroupName,EquipmentId,MethaneInKg
39.91413786,-80.4778364,1/1/2023 0:00,4/1/2023 0:00,Sand Traps,769ea46d-594c-4007-8039-11ec838d28a9,0.806830518
39.91398447,-80.47797452,1/1/2023 0:00,5/1/2023 0:00,Produced Water Tanks,f819b43f-0592-4431-a8cb-02d3ad088c1d,72.48651976
39.91400479,-80.47789644,1/1/2023 0:00,4/1/2023 0:00,Wells,1a404cf8-1594-46cf-ad27-16191a5db623,127.8750058
39.91412606,-80.47789787,1/1/2023 0:00,3/1/2023 0:00,Wells,031dbebe-0b7f-493b-8f53-ca1f24ad301d,13.74360769
39.91405422,-80.47778287,1/1/2023 0:00,3/1/2023 0:00,Wells,16118a29-b92a-42a9-98ae-9401347d2d8a,10.42383224
39.91401375,-80.47780958,1/1/2023 0:00,4/1/2023 0:00,Wells,6aaf5f7b-2ed5-49a2-a862-818c81c7c3dd,2.615927799
39.91398897,-80.47785282,1/1/2023 0:00,4/1/2023 0:00,Wells,06f45a3e-4b9a-42b4-8bf0-c57e89613525,6.857069441
39.91406857,-80.47797067,1/1/2023 0:00,7/1/2023 0:00,Wells,49c6b726-946e-428c-8bd1-456ab35738b2,49.91405106
39.91405075,-80.47779532,1/1/2023 0:00,3/1/2023 0:00,Wells,b8011d9b-f8b1-4cfe-a9e0-741180b47b49,3.926500057
39.91398419,-80.4777665,1/1/2023 0:00,5/1/2023 0:00,Wells,0c3f8ba6-cd5d-43d4-bb3d-ef0dd1210825,10.55711635
39.91412685,-80.4778712,1/1/2023 0:00,6/1/2023 0:00,Wells,f0d5d9d0-fbaa-4d99-84b6-0930fa706fbb,24.49748541
39.91406576,-80.47776135,1/1/2023 0:00,4/1/2023 0:00,Wells,442cf5f3-b90e-4e2b-96c2-9a9b3b314201,21.57671134
39.91410713,-80.47788056,1/1/2023 0:00,3/1/2023 0:00,Wells,79ebbed6-1fce-4411-b198-c01886ee029b,4.79572507
39.91406002,-80.4778252,1/1/2023 0:00,4/1/2023 0:00,Slop Tanks,57222d9a-0359-484e-afa7-a78004efae29,110.5687084
39.91412183,-80.47792441,1/1/2023 0:00,4/1/2023 0:00,Slop Tanks,4fcf0081-1ae9-41de-992b-5e1a1ea07f4f,11.83612095
39.91408883,-80.47786757,1/1/2023 0:00,6/1/2023 0:00,Slop Tanks,a82340ce-addf-41e5-9b6b-d2648a004e09,65.42501944
39.91412558,-80.47792702,1/1/2023 0:00,1/28/2023 0:00,Slug Catchers,cf101421-36f2-49c0-9ec1-2ec0262dc1e0,5.780023881
39.91406767,-80.47789525,1/1/2023 0:00,4/1/2023 0:00,GPUs,f2904e36-41b4-4b99-af08-667f80f1a301,1.077169391
39.91398801,-80.47792767,1/1/2023 0:00,1/28/2023 0:00,Produced Water Tanks,fa5e8e1e-e243-4570-8284-38d9ac135317,0.087012857
39.91411312,-80.47787638,1/1/2023 0:00,4/1/2023 0:00,Wells,a2c37122-0fbb-463c-81d6-cb91fc5f3c57,5.046120808
39.91409682,-80.47797498,1/1/2023 0:00,4/1/2023 0:00,Wells,ef5f9a1b-4368-43c0-969e-a0863c51387b,8.088140931
39.91399912,-80.47777227,1/1/2023 0:00,5/1/2023 0:00,Wells,0ff9849e-b982-4251-99f3-a8977d5e7bbb,13.44583383
39.91413279,-80.4777648,1/1/2023 0:00,6/1/2023 0:00,Wells,c848c531-5fb0-4712-83ef-aa987dade49f,20.26893995
39.91401712,-80.47788918,1/1/2023 0:00,4/1/2023 0:00,Wells,551dafd4-0a7c-45e6-a59d-2cb4e276c98e,7.227964377
39.91408718,-80.47776273,1/1/2023 0:00,6/1/2023 0:00,Wells,afef9653-390a-47ef-a046-34a452a4cc38,304.9632657
39.9141198,-80.47793131,1/1/2023 0:00,7/1/2023 0:00,Sand Traps,f6736913-c9e9-4528-aa96-b3e57718e80e,13.61116723
39.9140776,-80.47776381,1/1/2023 0:00,1/27/2023 0:00,GPUs,b4ded384-bdfa-4320-b7a8-4d12fcc37b92,0.010284223
39.91406132,-80.47784834,1/1/2023 0:00,6/1/2023 0:00,GPUs,07539517-ea98-484d-9306-14c5feb3070c,0.794262455
39.91398283,-80.47784453,1/1/2023 0:00,6/1/2023 0:00,GPUs,6c4c0967-1ba0-44e0-9d71-ea7896348ce2,0.099755398
39.91406645,-80.47777965,1/1/2023 0:00,7/1/2023 0:00,Sand Traps,c981996c-0237-49ae-a7e1-ca5413fca09f,17.86320274
39.91409874,-80.47774379,1/1/2023 0:00,4/1/2023 0:00,Sand Traps,da388418-6a9b-48af-8c54-6acbcb7f5924,1.154763502
39.91413856,-80.47778661,1/1/2023 0:00,4/1/2023 0:00,Sand Traps,bb159268-4425-4cc8-a05e-d498f1ad8a3f,2.246758891
39.9139961,-80.47793907,1/1/2023 0:00,6/1/2023 0:00,Sand Traps,c16e0fa6-a5aa-4c5e-b1d3-658eed1c4e93,5.432745773
39.91407158,-80.47791392,1/1/2023 0:00,6/1/2023 0:00,Slug Catchers,f8b3858b-679d-4138-8fd3-ec4ccbf62ed6,289.7274954
39.91401364,-80.47779199,1/1/2023 0:00,7/1/2023 0:00,Slug Catchers,0596375b-4115-4401-bb9b-11918eeefcb0,198.2829274
39.91406787,-80.47777282,1/1/2023 0:00,4/1/2023 0:00,Slug Catchers,f820fd03-496e-47ab-a098-03c030ac6960,101.551414
39.91399783,-80.47793308,1/1/2023 0:00,6/1/2023 0:00,Dehydrators,6b88e4b7-b437-4b82-a537-d3b5d758db7f,219.3367388
39.91398252,-80.4778295,1/1/2023 0:00,4/1/2023 0:00,Dehydrators,ef4ba7c0-0cfc-4db8-889f-a4dcf548dd58,13.52244266
39.9140359,-80.4778172,1/1/2023 0:00,6/1/2023 0:00,Slug Catchers,8aaaa5a5-fc70-4fb5-9bf7-18efcfeeca1c,147.8577897
39.91399082,-80.47779006,1/1/2023 0:00,4/1/2023 0:00,Sand Traps,c6bf141b-341e-4f1b-ac02-9b13c756068b,6.248183871
39.91397216,-80.47790771,1/1/2023 0:00,3/1/2023 0:00,GPUs,47b99507-f6e4-43a7-9a4a-489d728b402a,6.697141377
39.91397788,-80.47787063,1/1/2023 0:00,3/1/2023 0:00,Wells,8fbcb66f-37f3-4500-aed8-48f53d1f7f3a,1.175488803
